devika mukherjee
mohini saxer
ashok shetty
divesh mittal
vtinda majumdar
raj nashora
divya malhotra
gaurav subramaniam
rashmi naidu
kajal rajan
ananya khanna
yuvraj bajaj
abhinav shah
arani kolanki
abhok chatterjee
vrinda shetty
anitul menon
avani shetty
ashok khanna
sahil tiwari
veer mehta
chaitra patel
anisha shukla
ashul eojee
kaan dubey
manan getti
aniti hegde
aran deshpande
anand sethi
dinesh metta
sanya raj
ravul venkatesh
sohali bajaj
abhikav mittal
vivek shetty
gaurav shah
shrey dutta
annin megha
anni dhawan
sahana deshpande
raj dwivedi
chaitra shukla
aarav malul
pranav chakhara
madhav deshpande
rashmi bhat
shrey naidu
dev yansal
amar mehta
aanya mohan
sandeep gupta
dev dwivedi
amar malhotra
aman krishnan
vinay pawar
abhinav naidu
ashok patil
gamala mittal
aanya bhatt
devant patel
aansha malhotra
vivaan sinha
raj mohan
tarun garg
shravya shetty
krishna bhatt
anita solanki
akshari rao
anirudh reddy
ashanv mahajan
ahara krishnan
atyansh agarwal
rashmi rajput
abhit malhotra
dev singhan
karaji rajan
praneel dutta
payush malhotra
kedant menor
anandi sethi
aman mohan
ahak natarajan
nisha ganemi
praneel shbama
anital keloku
priyanka kapoor
ananya khatri
risha majumdar
ananya pandey
alana ganesh
varun agarwal
anvi malhotra
tanmay rao
sahil dubey
vrinda pawar
rakesh gaikwad
hejal sharma
kajal bhatt
vivaan moaha
anshul trivedi
